SHPG_TRXN_LN_DT,NRF_YEAR,NRF_WEEK,NRF_MONTH,NRF_SEASON,NRF_QUARTER,NRF_DAY
2/1/2015,2015,1,1,SPRING,1,1
2/2/2015,2015,1,1,SPRING,4,2
2/3/2015,2015,1,1,SPRING,4,3
2/4/2015,2015,1,1,SPRING,4,4
2/5/2015,2015,1,1,SPRING,4,5
2/6/2015,2015,1,1,SPRING,4,6
2/7/2015,2015,1,1,SPRING,4,7
2/8/2015,2015,2,1,SPRING,4,8
2/9/2015,2015,2,1,SPRING,4,9
2/10/2015,2015,2,1,SPRING,4,10
2/11/2015,2015,2,1,SPRING,4,11
2/12/2015,2015,2,1,SPRING,4,12
2/13/2015,2015,2,1,SPRING,4,13
2/14/2015,2015,2,1,SPRING,4,14
2/15/2015,2015,3,1,SPRING,4,15
2/16/2015,2015,3,1,SPRING,4,16
2/17/2015,2015,3,1,SPRING,4,17
2/18/2015,2015,3,1,SPRING,4,18
2/19/2015,2015,3,1,SPRING,4,19
2/20/2015,2015,3,1,SPRING,4,20
2/21/2015,2015,3,1,SPRING,4,21
2/22/2015,2015,4,1,SPRING,4,22
2/23/2015,2015,4,1,SPRING,4,23
2/24/2015,2015,4,1,SPRING,4,24
2/25/2015,2015,4,1,SPRING,4,25
2/26/2015,2015,4,1,SPRING,4,26
2/27/2015,2015,4,1,SPRING,4,27
2/28/2015,2015,4,1,SPRING,4,28
3/1/2015,2015,5,2,SPRING,4,1
3/2/2015,2015,5,2,SPRING,4,2
3/3/2015,2015,5,2,SPRING,1,3
3/4/2015,2015,5,2,SPRING,1,4
3/5/2015,2015,5,2,SPRING,1,5
3/6/2015,2015,5,2,SPRING,1,6
3/7/2015,2015,5,2,SPRING,1,7
3/8/2015,2015,6,2,SPRING,1,8
3/9/2015,2015,6,2,SPRING,1,9
3/10/2015,2015,6,2,SPRING,1,10
3/11/2015,2015,6,2,SPRING,1,11
3/12/2015,2015,6,2,SPRING,1,12
3/13/2015,2015,6,2,SPRING,1,13
3/14/2015,2015,6,2,SPRING,1,14
3/15/2015,2015,7,2,SPRING,1,15
3/16/2015,2015,7,2,SPRING,1,16
3/17/2015,2015,7,2,SPRING,1,17
3/18/2015,2015,7,2,SPRING,1,18
3/19/2015,2015,7,2,SPRING,1,19
3/20/2015,2015,7,2,SPRING,1,20
3/21/2015,2015,7,2,SPRING,1,21
3/22/2015,2015,8,2,SPRING,1,22
3/23/2015,2015,8,2,SPRING,1,23
3/24/2015,2015,8,2,SPRING,1,24
3/25/2015,2015,8,2,SPRING,1,25
3/26/2015,2015,8,2,SPRING,1,26
3/27/2015,2015,8,2,SPRING,1,27
3/28/2015,2015,8,2,SPRING,1,28
3/29/2015,2015,9,2,SPRING,1,29
3/30/2015,2015,9,2,SPRING,1,30
3/31/2015,2015,9,2,SPRING,1,31
4/1/2015,2015,9,2,SPRING,1,32
4/2/2015,2015,9,2,SPRING,1,33
4/3/2015,2015,9,2,SPRING,1,34
4/4/2015,2015,9,2,SPRING,1,35
4/5/2015,2015,10,3,SPRING,1,1
4/6/2015,2015,10,3,SPRING,1,2
