"ITM_SKU_NUM","CHC_CD","CHC_DESC","CHC_CD_DESC","STY_NUM","ITM_STY_DESC","ITM_SCLS_CD","ITM_SCLS_LONG_DESC","ITM_CLS_CD","ITM_CLS_DESC","PROD_CTGY_CD","PROD_CTGY_DESC","SCTR_CD","SCTR_DESC","ITM_SBRND_CD","ITM_SBRND_DESC","SZ1_CD","SZ2_CD","ITM_MSTY_CD","ITM_MSTY_DESC","FABRICFAMILY","PLCYCLE","FORM","COLORFAMILY","SUPPORT","PRIPOIRANGE","NETCONTENT","CONTENTUNIT","COLORMARKETING","COLLECTION","SILHOUETTE","LININGLEVEL","STRUCTURE"
"000000000023565303","34R8","FS STopTri w Strappy Back_Nero","Nero","11020001","FS STopTri w Strappy Back","2538","TRIANGLE SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","SMALL","","1102000100","FS STopTri w Strappy Back","TRICOT-SHINE","","","BLACK","","","","","Nero 34R8","VS-SWIM OTHER","","REMOVABLE","WIRELESS"
"000000000023563478","34R8","FS STopTri w Strappy Back_Nero","Nero","11020001","FS STopTri w Strappy Back","2538","TRIANGLE SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","SMALL","","1102000100","FS STopTri w Strappy Back","TRICOT-SHINE","","","BLACK","","","","","Nero 34R8","VS-SWIM OTHER","","REMOVABLE","WIRELESS"
"000000000023560397","34R8","FS STopTri w Strappy Back_Nero","Nero","11020001","FS STopTri w Strappy Back","2538","TRIANGLE SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","SMALL","","1102000100","FS STopTri w Strappy Back","TRICOT-SHINE","","","BLACK","","","","","Nero 34R8","VS-SWIM OTHER","","REMOVABLE","WIRELESS"
"000000000023563833","34R8","FS STopTri w Strappy Back_Nero","Nero","11020001","FS STopTri w Strappy Back","2538","TRIANGLE SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","SMALL","","1102000100","FS STopTri w Strappy Back","TRICOT-SHINE","","","BLACK","","","","","Nero 34R8","VS-SWIM OTHER","","REMOVABLE","WIRELESS"
"000000000022992656","34Y5","MESH UL ELGONATED DEMI_Coconut White 92-","Coconut White 92-03-66","11125341","MESH UL ELGONATED DEMI","9305","DEMI","40200094","DEMI-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0222","BODY BY VICTORIA","36","D","5000005887","MS-BBV SHAPING UL DEMI PLUNGE","MESH","","","WHITE","","","","","Coconut White 92-03-66 34Y5","VS-BBV COLLECT","","UNLINED","UNDERWIRE"
"000000000023049013","3FOD","PKHGHNK 17709 HIGH NECK MESH TOP_F16 PUR","F16 PUREBK C001 Pure Black 2ZU","11079540","PKHGHNK 17709 HIGH NECK MESH TOP","4008","HIGHNECK SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","1611","PINK","S","AA-C","1107954000","PKHGHNK 17709 HIGH NECK MESH TOP","TRICOT-MATTE","FASHION","","BLACK","","","","","F16 PUREBKC001 3FOD","PINK-NONCOLLECT","","LIGHTLY LINED","WIRELESS"
"000000000022759213","82L0","VRYSXY LCETRM GRTR BLT_GENERIC BLUE 01","GENERIC BLUE 01","10906053","VRYSXY LCETRM GRTR BLT","1028","GARTER BELTS","40210113","GARTER BELTS-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","2225","VERY SEXY","MED","","1090605300","VRYSXY LCETRM GRTR BLT","AO LACE","","","BLUE","","$2 & UNDER","","","french navy","VS-VSY NONCOLEC","","",""
"000000000020276674","J898","CT FC Molded_73662 FUNKYFLORAL C029 VS W","73662 FUNKYFLORAL C029 VS Whit","10898071","CT FC Molded","9306","PERFECT COVERAGE","40200093","PERFECTCOVERAGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","9903","THE MIX","38","D","5000000068","MS-Sexy Tee PC","COTTON","","","Floral Medium","","","","","73662 C029 J898","VS-SEXY T","","LIGHTLY LINED","UNDERWIRE"
"000000000021351723","0FDY","C Plng PD Incredible_PC0BX6embl 0BX6 C00","PC0BX6embl 0BX6 C002 83955 C42","10827362","C Plng PD Incredible","9501","PLUNGE","40200095","PLUNGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0643","ILLUSION","32","DD","5000000094","MS-Incredible Plunge PU","SMOOTH","FASHION","","Product Colorwy","","","","","0BX6 83955 C428_Emblsh C002 0F","VS-INCREDIBLE","PUSH UP","PUSH-UP","UNDERWIRE"
"000000000024233230","54A0","45.SE MATTE EYELET DEMI_Absolute Black","Absolute Black","10913975","45.SE MATTE EYELET DEMI","9305","DEMI","40200094","DEMI-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0114","ANGELS","36","D","1091397500","45.SE MATTE EYELET DEMI","","","","BLACK","","40-44.99","","","BLACK","","","LIGHTLY LINED","UNDERWIRE"
"000000000036211507","A010","L1889 LACE T-SHIRT BRA_ICG 010 C001 ICG","ICG 010 C001 ICG NC01 00A1 - -","35020060","L1889 LACE T-SHIRT BRA","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","38","D","0","UNKNOWN MASTERSTYLE","","","","No Print","","","","","8X VIOLET TULIP","","","",""
"000000000021586958","0R25","PK C HOOD SHRUNKEN PULLOVER HOODIE_F212","F212 RM TR F212 RM TRI WHT C00","10853650","PK C HOOD SHRUNKEN PULLOVER HOODIE","0947","W PULLOVER SECOND LT","40780002","W SECOND LAYER TOP","3078","WOMENS TOPS","202","APPAREL","0134","PINK-PCC","XS","","1085365000","PK C HOOD SHRUNKEN PULLOVER HOODIE","FLEECE","FASHION","","No Print","","","","","F212ST RAMSTRWH 0R25","PINK-NFL","","",""
"000000000020252078","J862","SG HIPHG PANTIES FLAT LACE_sexyshells 73","sexyshells 73638 C012 MACADMIA","10898612","SG HIPHG PANTIES FLAT LACE","1711","HIPHUGGER","40210103","HIPHUGGER-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","2225","VERY SEXY","MED","","5000000060","Very Sexy Hiphugger","LACE TRIM","","","Conversational","","","","","DD2 SEXYSHELLSc12MAC/MAH","VS-VS COLLECT","","",""
"000000000036022603","30Y0","D2-4585 CHAMONIX SCOOP NECK 3/4 SLV TEE_","GENERIC IVORY/OFFWHITE 21","35003656","D2-4585 CHAMONIX SCOOP NECK 3/4 SLV TEE","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","M","","0","UNKNOWN MASTERSTYLE","","","","WHITE","","","","","137 WHITE ROCK","","","",""
"000000000020947560","52X7","C Spnt Woven Ruffle Pant_81222 picnicpla","81222 picnicplaid C003 VS Whit","10835963","C Spnt Woven Ruffle  Pant","2598","SLEEP PANT","40220120","SLEEPBOTTOM-LINGERIE","3022","LINGERIE-INTIMATE APPAREL","203","INTIMATE APPAREL","9903","THE MIX","SMALL","","5000005645","KI SLEEP PANT","WOVEN","FASHION","","Plaid","","35-39.99","","","81222PicnicPlaidC003 52X7","VS-MIX NONCOLEC","","",""
"000000000023017397","3AVZ","BBV Modal Cami Pant SET X Dye LACE VSD_X","Xprpn_nght XDye C023 PurpNrvna","11060874","BBV Modal Cami Pant SET X Dye LACE VSD","1085","TWO-PIECE LONG PANT","40220121","PAJAMA-LINGERIE","3022","LINGERIE-INTIMATE APPAREL","203","INTIMATE APPAREL","9903","THE MIX","XS","","1106087400","BBV Modal Cami Pant SET X Dye LACE VSD","MODAL","","","Cross Dye","","","","","Xprpn_nghtXDyeC023 3AVZ","VS-MODAL","","",""
"000000000020044716","2985","POUTBC BODY WASH_BOHEMIAN POUT","BOHEMIAN POUT","10021644","POUTBC BODY WASH","0207","CLEANSER BODY GEL","40040017","CLEANSER-BODYCARE","3004","BODY CARE-PCB","201","PERSONALCARE+BEAUTY","0350","POUT BODY CARE","0","0","1002164400","POUTBC BODY WASH","","","","","","","000000000006.700","OZ","","","","",""
"000000000021509835","33P6","YG HIPHG Lacie with Fishnet_Neon Purple","Neon Purple","10850422","YG HIPHG Lacie with Fishnet","1711","HIPHUGGER","40210103","HIPHUGGER-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","0644","LACIE","SMALL","","5000000045","Lacie Hiphugger","LACE","FASHION","","PURPLE","","","","","Neon Purple 33P6","VS-LACIE","HIPHUGGER","",""
"000000000022760130","2UOQ","RS BEACH VINTAGE LOW ARMHOLE_303134 Side","303134 SideStripe C903 VsSnow","11045437","RS BEACH VINTAGE LOW ARMHOLE","0940","W TANK FIRST LT","40780001","W FIRST LAYER TOP","3078","WOMENS TOPS","202","APPAREL","2219","VICTORIA'S SECRET","SMALL","","1104543700","RS BEACH VINTAGE LOW ARMHOLE","COTTON POLY","","","Stripe Narrow","","","","","303134SideStripeC903 2UOQ","VS-OTHER","","",""
"000000000021933556","1K3C","BS SBtmLr Desiree Foil_89292 deckstripe","89292 deckstripe C008 Bianco 3","10863640","BS SBtmLr Desiree Foil","0297","HIPSTER SW BOTTOM","40240134","SEPARATE BOTTOM-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","XS","","5000000179","MS BS Desiree HipsteR","TRICOT-MATTE","","","Stripe Horizntl","","","","","89292deckstripeC008 1K3C","VS-SWIM OTHER","","",""
"000000000036643529","A011","35P3158 SOLID STRETCH CTN AGENT PANT_ICG","ICG 011 C001 ICG NC01 00A1 - -","35013115","35P3158 SOLID STRETCH CTN AGENT PANT","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","W33","L34","0","UNKNOWN MASTERSTYLE","","","","No Print","","","","","138 CARAVAN","","","",""
"000000000021355777","00A7","10026887 ULTRASOFR CHEEKY THONG W LACE_G","GENERIC NO COLOR 42","10837128","10026887 ULTRASOFR CHEEKY THONG W LACE","9908","THONG","40210107","THONG-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","6008","LZA RELAXED SEXY","SMALL","","5000000899","ULTRASFT THONGNOCOTTON","OTHER","FASHION","","No Color","","","","","A97 116191C3 MINI DT SM BLK","LZA-ULTRASOFT","","",""
