TrnxID,CUSTID,BRND_CD,SHPG_TRXN_LN_DT,ITM_SKU_NUM,NET_SALES,NET_SLS_QTY,RETURN_SALES,RETURN_QTY
675445,10925,VSS,8/2/2017,23565303,5.6,1,5.6,1
675446,10926,VSS,8/2/2017,23563478,5.6,1,0,0
675447,10927,VSS,8/2/2017,23560397,26.95,1,0,0
675448,10928,VSS,8/2/2017,23563833,4.6,1,0,0
675449,10929,VSS,8/2/2017,23581917,11.2,2,5,1
675450,10930,VSS,8/2/2017,23475313,5.6,1,0,0
675451,10931,VSS,8/2/2017,23559403,32.95,1,0,0
675452,10932,VSS,8/2/2017,23579388,0,1,0,0
675453,10933,VSS,8/2/2017,23556877,5.6,1,0,0
775453,10933,DDS,8/2/2017,23556877,5.6,1,0,0
875453,10933,DDSP,8/2/2017,23556877,5.6,1,0,0
975453,10933,DDSP,8/2/2017,23556877,5.6,1,0,0
