TrnxID,CUSTID,BRND_CD,SHPG_TRXN_LN_DT,ITM_SKU_NUM,NET_SALES,NET_SLS_QTY,RETURN_SALES,RETURN_QTY
675445,10925,VSS,8/2/2017,23565303,5.6,1,0,0
675446,10926,VSS,8/2/2017,23563478,5.6,1,0,0
675447,10927,VSS,8/2/2017,23560397,26.95,1,0,0
675448,10928,VSS,8/2/2017,23563833,4.6,1,0,0
675449,10929,VSS,8/2/2017,23581917,11.2,2,0,0
675450,10930,VSS,8/2/2017,23475313,5.6,1,0,0
675451,10931,VSS,8/2/2017,23559403,32.95,1,0,0
675452,10932,VSS,8/2/2017,23579388,0,1,0,0
675453,10933,VSS,8/2/2017,23556877,5.6,1,0,0
675454,10934,VSS,8/2/2017,23580851,10.5,2,0,0
675455,10935,VSS,8/2/2017,23568915,44.85,1,0,0
675456,10936,VSS,8/2/2017,23388606,37.99,1,0,0
675457,10937,VSS,8/2/2017,23483795,22.99,1,0,0
675458,10938,VSS,8/2/2017,23552800,5.6,2,0,0
675459,10939,VSS,8/2/2017,23568918,0,0,0,0
675460,10940,VSS,8/2/2017,23550739,49.95,1,0,0
675461,10941,VSS,8/2/2017,23579388,0,1,0,0
675462,10942,VSS,8/2/2017,23559902,5.6,1,0,0
675463,10943,VSS,8/2/2017,21764501,18,1,0,0
675464,10944,VSS,8/2/2017,23540297,32.95,1,0,0
675465,10945,VSS,8/2/2017,23545597,4.12,2,0,0
675466,10946,VSS,8/2/2017,23581481,24.69,1,0,0
675467,10947,VSS,8/2/2017,23551331,5.6,1,0,0
675468,10948,VSS,8/2/2017,23566877,0,2,0,0
675469,10949,VSS,8/2/2017,23425821,32.95,1,0,0
675470,10950,VSS,8/2/2017,23552065,5.6,3,0,0
675471,10951,VSS,8/2/2017,23568204,35.1,1,0,0
675472,10952,VSS,8/2/2017,24888903,24.81,1,0,0
675473,10953,VSS,8/2/2017,23563320,5.6,1,0,0
