"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1016426"," 000000003167596233.","2017-08-02","13:41:56.000000","4","000000000023565303","101830979","101830979"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.650"," 0000010.50"
"VSS","1017023"," 000000003167605926.","2017-08-02","11:35:04.000000","4","000000000023563478","0","101863436"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000002.030"," 0000010.50"
"VSS","1013587"," 000000003167870587.","2017-08-02","17:05:06.000000","1","000000000023560397","0","101770852"," 0000026.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000026.95","1"," 0000000.00","0","N"," 000006.150"," 0000026.95"
"VSS","1016469"," 000000003167601127.","2017-08-02","11:15:54.000000","3","000000000023563833","101793058","103101024"," 0000000.00","0"," 0000000.00","0"," 0000004.60","1"," 0000000.00","0"," 000000004.60","1"," 0000000.00","0","N"," 000001.680"," 0000010.50"
"VSS","1016989"," 000000003167973961.","2017-08-02","19:01:58.000000","4","000000000023581917","101625623","103109088"," 0000000.00","0"," 0000000.00","0"," 0000011.20","2"," 0000000.00","0"," 000000011.20","2"," 0000000.00","0","N"," 000001.650"," 0000010.50"
"VSS","1013516"," 000000003167866509.","2017-08-02","20:33:15.000000","5","000000000023475313","103115823","103026837"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","Y"," 000001.490"," 0000010.50"
"VSS","1002813"," 000000003167575510.","2017-08-02","12:39:11.000000","9","000000000023559403","0","100699467"," 0000032.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000032.95","1"," 0000000.00","0","N"," 000008.260"," 0000032.95"
"VSS","1004033"," 000000003167554208.","2017-08-02","10:52:20.000000","3","000000000023579388","101769349","101769349"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","N"," 000007.100"," 0000058.00"
"VSS","1013606"," 000000003167871045.","2017-08-02","20:34:23.000000","2","000000000023556877","101480248","103088346"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.880"," 0000010.50"
"VSS","1017019"," 000000003167608194.","2017-08-02","15:11:01.000000","4","000000000023580851","101867272","101783396"," 0000010.50","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000010.50","1"," 0000000.00","0","N"," 000001.970"," 0000010.50"
"VSS","1016989"," 000000003167875742.","2017-08-02","15:48:35.000000","4","000000000023568915","101625623","103065503"," 0000000.00","0"," 0000000.00","0"," 0000044.85","1"," 0000000.00","0"," 000000044.85","1"," 0000000.00","0","Y"," 000013.850"," 0000049.95"
"VSS","1017236"," 000000003167611373.","2017-08-02","14:25:59.000000","3","000000000023388606","0","103023275"," 0000000.00","0"," 0000037.99","1"," 0000000.00","0"," 0000000.00","0"," 000000037.99","1"," 0000000.00","0","N"," 000020.060"," 0000037.99"
"VSS","1004075"," 000000003167863647.","2017-08-02","15:09:08.000000","3","000000000023483795","101752817","101752817"," 0000000.00","0"," 0000022.99","1"," 0000000.00","0"," 0000000.00","0"," 000000022.99","1"," 0000000.00","0","N"," 000012.080"," 0000022.99"
"VSS","1017270"," 000000003167613750.","2017-08-02","10:38:57.000000","3","000000000023552800","101868851","101868851"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.890"," 0000010.50"
"VSS","1013516"," 000000003167867182.","2017-08-02","17:54:07.000000","1","000000000023568918","101635648","103091213"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000000.00","0"," 0000000.00","0","N"," 000015.650"," 0000054.95"
"VSS","1013536"," 000000003167582885.","2017-08-02","16:45:47.000000","2","000000000023550739","103054322","101444208"," 0000049.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000049.95","1"," 0000000.00","0","N"," 000013.440"," 0000049.95"
"VSS","1013591"," 000000003167972441.","2017-08-02","19:48:31.000000","3","000000000023579388","103006429","103006429"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","Y"," 000007.100"," 0000058.00"
"VSS","1013574"," 000000003167590382.","2017-08-02","17:10:09.000000","2","000000000023559902","0","103111756"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.580"," 0000010.50"
"VSS","1016445"," 000000003167598737.","2017-08-02","16:39:09.000000","4","000000000021764501","0","103089840"," 0000018.00","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000018.00","1"," 0000000.00","0","N"," 000002.640"," 0000018.00"
"VSS","1002813"," 000000003167862260.","2017-08-02","19:22:34.000000","5","000000000023540297","103086163","103086163"," 0000032.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000032.95","1"," 0000000.00","0","Y"," 000007.190"," 0000032.95"
